result_dir,accuracy,split_folder,model_family,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,model,target,split_col,task_type,train_rows,validation_rows,test_rows,embedding_file,embedding_missing_train,embedding_missing_test,threshold,threshold_validation_score
node2vec/design_binary/cold_start_pi_cluster_safe,0.6328767123287671,design_binary,cold_start_pi_cluster_safe,0.532695100512115,0.6838567041407914,0.8928571428571429,0.6451612903225806,0.7490636704119851,0.6277419354838709,0.9067193863234408,emb_lr,target_design_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_pi_cluster_safe,0.6328767123287671,design_binary,cold_start_pi_cluster_safe,0.532695100512115,0.6838567041407914,0.8928571428571429,0.6451612903225806,0.7490636704119851,0.6279178885630498,0.9069969171772204,emb_svm,target_design_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_pi_cluster_safe,0.8493150684931506,design_binary,cold_start_pi_cluster_safe,0.4592592592592592,0.7801116184677829,0.8493150684931506,1.0,0.9185185185185184,0.6470967741935485,0.9017456113471772,emb_rf,target_design_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_pi_cluster_safe,0.8493150684931506,design_binary,cold_start_pi_cluster_safe,0.4592592592592592,0.7801116184677829,0.8493150684931506,1.0,0.9185185185185184,0.6473313782991202,0.9015779441808198,emb_extra_trees,target_design_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_institution_cluster_safe,0.8421052631578947,design_binary,cold_start_institution_cluster_safe,0.4571428571428571,0.7699248120300752,0.8421052631578947,1.0,0.9142857142857144,0.5,0.8421052631578947,dummy,target_design_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_institution_cluster_safe,0.4912280701754385,design_binary,cold_start_institution_cluster_safe,0.4533730158730158,0.5517961570593148,0.8958333333333334,0.4479166666666667,0.5972222222222222,0.6527777777777778,0.8917598087882885,emb_lr,target_design_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_institution_cluster_safe,0.5,design_binary,cold_start_institution_cluster_safe,0.4600747818861653,0.5605317823016203,0.8979591836734694,0.4583333333333333,0.6068965517241379,0.6527777777777778,0.8917186355547112,emb_svm,target_design_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_institution_cluster_safe,0.8421052631578947,design_binary,cold_start_institution_cluster_safe,0.4571428571428571,0.7699248120300752,0.8421052631578947,1.0,0.9142857142857144,0.6365740740740742,0.8896071552673639,emb_rf,target_design_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_institution_cluster_safe,0.8421052631578947,design_binary,cold_start_institution_cluster_safe,0.4571428571428571,0.7699248120300752,0.8421052631578947,1.0,0.9142857142857144,0.7164351851851851,0.9213704839503406,emb_extra_trees,target_design_binary,split_cold_start_institution_cluster_safe,binary,2253,133,114,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/edu_to_eng_cluster_safe,0.8070175438596491,design_binary,edu_to_eng_cluster_safe,0.4466019417475728,0.7208312042241527,0.8070175438596491,1.0,0.8932038834951457,0.5,0.8070175438596491,dummy,target_design_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
