result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
mmr_multiclass/temporal_cluster_safe/late_fusion/dummy,mmr_multiclass,temporal_cluster_safe,late_fusion,dummy,target_mmr_multiclass,split_temporal_cluster_safe,897,0.0256410256410256,0.0083333333333333,0.0012820512820512,,,,,,1257,346,6,0.5,0.1666666666666666
mmr_multiclass/temporal_cluster_safe/late_fusion/fusion_lr,mmr_multiclass,temporal_cluster_safe,late_fusion,fusion_lr,target_mmr_multiclass,split_temporal_cluster_safe,897,0.3979933110367893,0.2545055310586019,0.3864749308786174,,,,,,1257,346,6,0.6826654813341585,0.2599376093580346
mmr_multiclass/temporal_cluster_safe/late_fusion/fusion_svm,mmr_multiclass,temporal_cluster_safe,late_fusion,fusion_svm,target_mmr_multiclass,split_temporal_cluster_safe,897,0.3857302118171683,0.2255531656223097,0.3783424358275668,,,,,,1257,346,6,0.6460118843145682,0.2365546047921277
mmr_multiclass/temporal_cluster_safe/late_fusion/fusion_mlp,mmr_multiclass,temporal_cluster_safe,late_fusion,fusion_mlp,target_mmr_multiclass,split_temporal_cluster_safe,897,0.4236343366778149,0.2302167316252801,0.4009069658722907,,,,,,1257,346,6,0.6847060884405701,0.2516923301771735
mmr_multiclass/temporal_cluster_safe/late_fusion/fusion_extra_trees,mmr_multiclass,temporal_cluster_safe,late_fusion,fusion_extra_trees,target_mmr_multiclass,split_temporal_cluster_safe,897,0.4804905239687848,0.2245936675125504,0.383648874594758,,,,,,1257,346,6,0.7198291901273887,0.3119335292561594
mmr_multiclass/cross_program_cluster_safe/late_fusion/dummy,mmr_multiclass,cross_program_cluster_safe,late_fusion,dummy,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.2293577981651376,0.0621890547263681,0.0855812679720662,,,,,,2228,54,6,0.5,0.1666666666666666
mmr_multiclass/cross_program_cluster_safe/late_fusion/fusion_lr,mmr_multiclass,cross_program_cluster_safe,late_fusion,fusion_lr,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.4082568807339449,0.3423747533103232,0.4191466762289736,,,,,,2228,54,6,0.7405295649157076,0.3653613129172213
mmr_multiclass/cross_program_cluster_safe/late_fusion/fusion_svm,mmr_multiclass,cross_program_cluster_safe,late_fusion,fusion_svm,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.3853211009174312,0.3087556237142798,0.3878059864312104,,,,,,2228,54,6,0.6881649128937483,0.3446856937099484
mmr_multiclass/cross_program_cluster_safe/late_fusion/fusion_mlp,mmr_multiclass,cross_program_cluster_safe,late_fusion,fusion_mlp,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.4403669724770642,0.3729236118570257,0.444014145860893,,,,,,2228,54,6,0.7353048741798475,0.3468279891909414
mmr_multiclass/cross_program_cluster_safe/late_fusion/fusion_extra_trees,mmr_multiclass,cross_program_cluster_safe,late_fusion,fusion_extra_trees,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.4908256880733945,0.2795001607200257,0.4132565268549892,,,,,,2228,54,6,0.7333533773563264,0.3763243766229893
