result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
design_binary/cold_start_pi_cluster_safe/late_fusion/dummy,design_binary,cold_start_pi_cluster_safe,late_fusion,dummy,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8493150684931506,0.4592592592592592,0.7801116184677829,0.9185185185185184,0.8493150684931506,1.0,0.5,0.8493150684931506,1735,400,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/fusion_lr,design_binary,cold_start_pi_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_cold_start_pi_cluster_safe,365,0.821917808219178,0.6645457758925415,0.8250652488657109,0.8943089430894309,0.9016393442622952,0.8870967741935484,0.7907331378299121,0.9506456544675272,1735,400,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/fusion_svm,design_binary,cold_start_pi_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8191780821917808,0.6357946298984035,0.816345905322385,0.8942307692307693,0.8885350318471338,0.9,0.7673313782991202,0.943959598620189,1735,400,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/fusion_mlp,design_binary,cold_start_pi_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_cold_start_pi_cluster_safe,365,0.873972602739726,0.6840183679614574,0.8551785441750916,0.9290123456790124,0.8905325443786982,0.970967741935484,0.8741348973607038,0.9761226500078222,1735,400,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/fusion_extra_trees,design_binary,cold_start_pi_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8575342465753425,0.554710960960961,0.8112556049199885,0.921921921921922,0.8623595505617978,0.9903225806451612,0.8675659824046921,0.973995099515964,1735,400,2,,
design_binary/cold_start_institution_cluster_safe/late_fusion/dummy,design_binary,cold_start_institution_cluster_safe,late_fusion,dummy,target_design_binary,split_cold_start_institution_cluster_safe,114,0.8421052631578947,0.4571428571428571,0.7699248120300752,0.9142857142857144,0.8421052631578947,1.0,0.5,0.8421052631578947,2253,133,2,,
design_binary/cold_start_institution_cluster_safe/late_fusion/fusion_lr,design_binary,cold_start_institution_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_cold_start_institution_cluster_safe,114,0.7456140350877193,0.6113788644645586,0.7676526451900292,0.8397790055248618,0.8941176470588236,0.7916666666666666,0.7170138888888888,0.921727730045532,2253,133,2,,
design_binary/cold_start_institution_cluster_safe/late_fusion/fusion_svm,design_binary,cold_start_institution_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_cold_start_institution_cluster_safe,114,0.7631578947368421,0.6381803220876925,0.7836766006941652,0.850828729281768,0.9058823529411764,0.8020833333333334,0.7158564814814814,0.9137963586980884,2253,133,2,,
design_binary/cold_start_institution_cluster_safe/late_fusion/fusion_mlp,design_binary,cold_start_institution_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_cold_start_institution_cluster_safe,114,0.8421052631578947,0.703125,0.8421052631578947,0.90625,0.90625,0.90625,0.839699074074074,0.9662314700595496,2253,133,2,,
design_binary/cold_start_institution_cluster_safe/late_fusion/fusion_extra_trees,design_binary,cold_start_institution_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_cold_start_institution_cluster_safe,114,0.8333333333333334,0.5406150583244963,0.7915164369034996,0.9073170731707316,0.8532110091743119,0.96875,0.8003472222222223,0.9574482391536604,2253,133,2,,
design_binary/edu_to_eng_cluster_safe/late_fusion/dummy,design_binary,edu_to_eng_cluster_safe,late_fusion,dummy,target_design_binary,split_edu_to_eng_cluster_safe,342,0.8070175438596491,0.4466019417475728,0.7208312042241527,0.8932038834951457,0.8070175438596491,1.0,0.5,0.8070175438596491,1836,322,2,,
