result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
integration_binary/edu_to_eng_cluster_safe/text_metadata,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.6228070175438597,0.3837837837837838,0.4780464675201517,0.0,0.0,0.0,0.5,0.3771929824561403,dummy,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,777.0,768.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.7807017543859649,0.7357930842681005,0.7625471856149134,0.6268656716417911,0.875,0.4883720930232558,0.6927794155111549,0.6962897383435962,metadata_lr,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,777.0,768.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.4269005847953216,0.4256434863077081,0.4190437192477371,0.4525139664804469,0.3537117903930131,0.627906976744186,0.5876733267823998,0.6110571839174073,metadata_svm,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,777.0,768.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.7309941520467836,0.6871743885464308,0.7159311083435373,0.5700934579439252,0.7176470588235294,0.4728682170542636,0.6141318193398114,0.6540991484039093,metadata_mlp,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,777.0,768.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.7660818713450293,0.734472049689441,0.7569739566307072,0.6428571428571429,0.7578947368421053,0.5581395348837209,0.7863849765258215,0.7581602194142838,metadata_extra_trees,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,777.0,768.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata/dummy,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.6228070175438597,0.3837837837837838,0.4780464675201517,0.0,0.0,0.0,0.5,0.3771929824561403,dummy,,,binary,,,,,,,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata/metadata_lr,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.7807017543859649,0.7357930842681005,0.7625471856149134,0.6268656716417911,0.875,0.4883720930232558,0.6927794155111549,0.6962897383435962,metadata_lr,,,binary,,,,,,,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata/metadata_svm,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.4269005847953216,0.4256434863077081,0.4190437192477371,0.4525139664804469,0.3537117903930131,0.627906976744186,0.5876733267823998,0.6110571839174073,metadata_svm,,,binary,,,,,,,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata/metadata_mlp,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.7309941520467836,0.6871743885464308,0.7159311083435373,0.5700934579439252,0.7176470588235294,0.4728682170542636,0.6141318193398114,0.6540991484039093,metadata_mlp,,,binary,,,,,,,,,
integration_binary/edu_to_eng_cluster_safe/text_metadata/metadata_extra_trees,integration_binary,edu_to_eng_cluster_safe,text_metadata,0.7660818713450293,0.734472049689441,0.7569739566307072,0.6428571428571429,0.7578947368421053,0.5581395348837209,0.7863849765258215,0.7581602194142838,metadata_extra_trees,,,binary,,,,,,,,,
design_binary/random_cluster_stratified/text_metadata,design_binary,random_cluster_stratified,text_metadata,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.5,0.8502673796791443,dummy,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,777.0,768.0,9.0,,,
