result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
integration_binary/cold_start_institution_cluster_safe/metadata_only,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.7807017543859649,0.7744360902255638,0.7783933518005539,0.7368421052631579,0.7954545454545454,0.6862745098039216,0.8316215375038905,0.8162178463806431,metadata_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253.0,133.0,114.0,9.0,0.0,9.0,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only/dummy,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.5526315789473685,0.3559322033898305,0.3933987511150758,0.0,0.0,0.0,0.5,0.4473684210526316,dummy,,,binary,,,,,,,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only/metadata_lr,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.7105263157894737,0.7105040400153906,0.7107713493043883,0.7079646017699115,0.6451612903225806,0.7843137254901961,0.7886710239651417,0.7467752340565159,metadata_lr,,,binary,,,,,,,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only/metadata_svm,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.6403508771929824,0.6321712441961124,0.6379451027821383,0.5773195876288659,0.6086956521739131,0.5490196078431373,0.7438530967942734,0.7304104234250555,metadata_svm,,,binary,,,,,,,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only/metadata_mlp,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.7280701754385965,0.7255145631067961,0.7283025038323966,0.6990291262135923,0.6923076923076923,0.7058823529411765,0.7892934951758481,0.7554831709007782,metadata_mlp,,,binary,,,,,,,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only/metadata_extra_trees,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.7807017543859649,0.7744360902255638,0.7783933518005539,0.7368421052631579,0.7954545454545454,0.6862745098039216,0.8316215375038905,0.8162178463806431,metadata_extra_trees,,,binary,,,,,,,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.6228070175438597,0.3837837837837838,0.4780464675201517,0.0,0.0,0.0,0.5,0.3771929824561403,dummy,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,9.0,0.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.5292397660818714,0.3952088573531188,0.4651380271246418,0.1104972375690607,0.1923076923076923,0.0775193798449612,0.4483386104742147,0.3315834001664618,metadata_lr,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,9.0,0.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.3713450292397661,0.2707889125799573,0.2042793551041783,0.5415778251599147,0.3735294117647059,0.9844961240310076,0.3825381227936092,0.3167461961796584,metadata_svm,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,9.0,0.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.3187134502923976,0.3185678003061425,0.3161208805370561,0.3285302593659942,0.2614678899082568,0.4418604651162791,0.3197219492666594,0.3132922772877085,metadata_mlp,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,9.0,0.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.5584795321637427,0.4367330911946598,0.5010519656688923,0.174863387978142,0.2962962962962963,0.1240310077519379,0.5127561233031263,0.3590636897066053,metadata_extra_trees,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1827.0,331.0,342.0,9.0,0.0,9.0,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only/dummy,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.6228070175438597,0.3837837837837838,0.4780464675201517,0.0,0.0,0.0,0.5,0.3771929824561403,dummy,,,binary,,,,,,,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only/metadata_lr,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.5292397660818714,0.3952088573531188,0.4651380271246418,0.1104972375690607,0.1923076923076923,0.0775193798449612,0.4483386104742147,0.3315834001664618,metadata_lr,,,binary,,,,,,,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only/metadata_svm,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.3713450292397661,0.2707889125799573,0.2042793551041783,0.5415778251599147,0.3735294117647059,0.9844961240310076,0.3825381227936092,0.3167461961796584,metadata_svm,,,binary,,,,,,,,,
