result_dir,model,split_folder,model_family,target,split_col,eval_split,n,best_epoch,best_val_macro_f1,seed,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,threshold
design_binary/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_design_binary,split_edu_to_eng_cluster_safe,test,342,67,0.7005932517612161,42,0.7953216374269005,0.6415523746780859,0.7857110585050998,0.8551724137931035,0.8985507246376812,0.8763250883392226,0.7800285463328942,0.9317625082852684,
mmr_multiclass/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_mmr_multiclass,split_random_cluster_stratified,train,1750,73,0.3579517321725784,42,0.4017142857142857,0.3430850121369697,0.3812806793550724,,,,,,
mmr_multiclass/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_mmr_multiclass,split_random_cluster_stratified,validation,376,73,0.3579517321725784,42,0.3989361702127659,0.3579517321725784,0.3823282663365662,,,,,,
mmr_multiclass/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_mmr_multiclass,split_random_cluster_stratified,test,374,73,0.3579517321725784,42,0.3475935828877005,0.2790186013504271,0.3237166096884371,,,,,,
mmr_multiclass/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_mmr_multiclass,split_temporal_cluster_safe,train,1257,71,0.2094649871257315,42,0.3595863166268894,0.30961533880721,0.3214362962606675,,,,,,
mmr_multiclass/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_mmr_multiclass,split_temporal_cluster_safe,validation,346,71,0.2094649871257315,42,0.3583815028901734,0.2094649871257315,0.2994010113154561,,,,,,
mmr_multiclass/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_mmr_multiclass,split_temporal_cluster_safe,test,897,71,0.2094649871257315,42,0.4202898550724637,0.177461663809315,0.3611259358555233,,,,,,
mmr_multiclass/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_mmr_multiclass,split_cross_program_cluster_safe,train,2228,7,0.2217062263501892,42,0.3195691202872531,0.2202330063147206,0.2635869921503124,,,,,,
mmr_multiclass/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_mmr_multiclass,split_cross_program_cluster_safe,validation,54,7,0.2217062263501892,42,0.3333333333333333,0.2217062263501892,0.2036654817872568,,,,,,
mmr_multiclass/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_mmr_multiclass,split_cross_program_cluster_safe,test,218,7,0.2217062263501892,42,0.3073394495412844,0.171850733375606,0.2610584962997273,,,,,,
mmr_multiclass/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_mmr_multiclass,split_cold_start_pi_cluster_safe,train,1735,95,0.3006413272335294,42,0.4063400576368876,0.3718899878747191,0.3988272438278806,,,,,,
mmr_multiclass/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_mmr_multiclass,split_cold_start_pi_cluster_safe,validation,400,95,0.3006413272335294,42,0.33,0.3006413272335294,0.3236001278208393,,,,,,
mmr_multiclass/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_mmr_multiclass,split_cold_start_pi_cluster_safe,test,365,95,0.3006413272335294,42,0.3561643835616438,0.3072246334681335,0.3472978887884311,,,,,,
mmr_multiclass/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_mmr_multiclass,split_cold_start_institution_cluster_safe,train,2253,18,0.2476190476190476,42,0.3559698180204172,0.2485732068151136,0.3085231158724429,,,,,,
mmr_multiclass/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_mmr_multiclass,split_cold_start_institution_cluster_safe,validation,133,18,0.2476190476190476,42,0.3533834586466165,0.2476190476190476,0.3011218522496717,,,,,,
mmr_multiclass/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_mmr_multiclass,split_cold_start_institution_cluster_safe,test,114,18,0.2476190476190476,42,0.3245614035087719,0.2086124401913875,0.2893393771510115,,,,,,
mmr_multiclass/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_mmr_multiclass,split_edu_to_eng_cluster_safe,train,1813,84,0.3151288815242977,42,0.3976833976833976,0.3609690083252319,0.3894552691725932,,,,,,
mmr_multiclass/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_mmr_multiclass,split_edu_to_eng_cluster_safe,validation,345,84,0.3151288815242977,42,0.3333333333333333,0.3151288815242977,0.3425371265311195,,,,,,
mmr_multiclass/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_mmr_multiclass,split_edu_to_eng_cluster_safe,test,342,84,0.3151288815242977,42,0.260233918128655,0.2613337388384931,0.26019878854667,,,,,,
